City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
95,Limbang,4.75,115.0,86.05,58,91,6.2,MY,2022-02-13 06:24:02
96,Hofn,64.2539,-15.2082,21.58,70,18,18.41,IS,2022-02-13 06:22:50
97,Carutapera,-1.195,-46.02,75.27,95,90,5.08,BR,2022-02-13 06:15:15
98,Thompson,55.7435,-97.8558,-23.64,76,75,0.0,CA,2022-02-13 06:24:03
99,Aklavik,68.2191,-135.0107,-30.17,98,37,1.25,CA,2022-02-13 06:24:04
100,Kahului,20.8947,-156.47,73.85,78,0,6.91,US,2022-02-13 06:22:36
101,Port Elizabeth,-33.918,25.5701,71.89,83,75,18.41,ZA,2022-02-13 06:21:14
102,Hobyo,5.3505,48.5268,80.4,55,58,17.72,SO,2022-02-13 06:24:04
103,Khatanga,71.9667,102.5,-17.59,95,67,4.56,RU,2022-02-13 06:24:05
104,Airai,-8.9266,125.4092,70.86,74,84,2.26,TL,2022-02-13 06:24:05
105,Port Lincoln,-34.7333,135.8667,74.71,58,100,13.09,AU,2022-02-13 06:24:06
106,Mersing,2.4312,103.8405,85.91,74,40,8.05,MY,2022-02-13 06:24:06
107,Cururupu,-1.8283,-44.8683,74.3,97,83,2.89,BR,2022-02-13 06:24:07
108,Banyumas,-7.5142,109.2942,87.1,64,98,1.9,ID,2022-02-13 06:24:07
109,Qaanaaq,77.484,-69.3632,-17.28,48,0,8.99,GL,2022-02-13 06:22:00
110,Xifeng,42.7372,124.7222,20.61,50,17,9.66,CN,2022-02-13 06:24:08
111,Znamenskoye,57.1281,73.8282,7.3,92,100,6.98,RU,2022-02-13 06:19:10
112,Terrace,54.5163,-128.6035,31.91,100,75,2.3,CA,2022-02-13 06:24:08
113,Tasiilaq,65.6145,-37.6368,10.56,65,100,5.41,GL,2022-02-13 06:24:09
114,Mar Del Plata,-38.0023,-57.5575,55.87,79,0,3.0,AR,2022-02-13 06:24:10
115,Juneau,58.3019,-134.4197,34.84,95,75,0.0,US,2022-02-13 06:24:10
116,Morondava,-20.2833,44.2833,83.26,78,81,6.13,MG,2022-02-13 06:24:11
117,Saint-Philippe,-21.3585,55.7679,83.79,79,26,13.35,RE,2022-02-13 06:24:11
118,Mahebourg,-20.4081,57.7,86.29,74,40,14.97,MU,2022-02-13 06:24:12
119,Mahanoro,-19.9,48.8,81.84,64,64,12.06,MG,2022-02-13 06:24:13
120,Cuamba,-14.8031,36.5372,73.15,90,95,1.61,MZ,2022-02-13 06:24:13
121,Jishui,33.7333,115.4,47.3,61,81,6.17,CN,2022-02-13 06:24:14
122,Abbeville,50.1,1.8333,37.47,74,81,12.64,FR,2022-02-13 06:23:08
123,Aksu,41.1231,80.2644,36.66,32,94,2.06,CN,2022-02-13 06:24:14
124,Hasaki,35.7333,140.8333,43.09,89,100,13.65,JP,2022-02-13 06:24:15
125,Vaini,-21.2,-175.2,82.56,83,75,6.91,TO,2022-02-13 06:24:16
126,Guerrero Negro,27.9769,-114.0611,65.62,49,100,7.09,MX,2022-02-13 06:24:16
127,Puerto Baquerizo Moreno,-0.9,-89.6,74.19,85,40,6.24,EC,2022-02-13 06:22:39
128,Fortuna,40.5982,-124.1573,49.12,100,0,9.22,US,2022-02-13 06:22:59
129,Half Moon Bay,37.4636,-122.4286,66.51,66,0,0.0,US,2022-02-13 06:24:17
130,Lagoa,39.05,-27.9833,59.76,82,99,17.09,PT,2022-02-13 06:24:18
131,Essenbach,48.6167,12.2167,32.61,85,100,4.99,DE,2022-02-13 06:24:18
132,Bredasdorp,-34.5322,20.0403,72.28,79,82,4.52,ZA,2022-02-13 06:24:19
133,Kodiak,57.79,-152.4072,33.31,86,0,3.44,US,2022-02-13 06:22:34
134,Saskylakh,71.9167,114.0833,-9.09,78,89,4.72,RU,2022-02-13 06:24:19
135,Hambantota,6.1241,81.1185,88.14,74,75,10.36,LK,2022-02-13 06:23:29
136,Kapaa,22.0752,-159.319,73.72,82,40,12.66,US,2022-02-13 06:24:20
137,Yellowknife,62.456,-114.3525,-17.45,82,20,9.22,CA,2022-02-13 06:22:17
138,Vostok,46.4856,135.8833,10.98,87,100,4.74,RU,2022-02-13 06:24:21
139,Arraial Do Cabo,-22.9661,-42.0278,72.1,89,40,5.64,BR,2022-02-13 06:24:21
140,Reconquista,-29.15,-59.65,57.96,89,1,5.88,AR,2022-02-13 06:25:22
141,Shieli,44.1667,66.75,36.03,68,99,10.87,KZ,2022-02-13 06:25:23
142,College,64.8569,-147.8028,11.21,82,100,0.0,US,2022-02-13 06:16:39
143,Palu,-0.8917,119.8707,79.38,86,99,0.98,ID,2022-02-13 06:25:23
144,Naryan-Mar,67.6713,53.087,11.03,96,100,9.1,RU,2022-02-13 06:25:24
145,Touros,-5.1989,-35.4608,79.7,83,15,6.82,BR,2022-02-13 06:25:24
146,Akyab,20.15,92.9,75.33,39,40,7.58,MM,2022-02-13 06:25:25
147,Ngaoundere,7.3167,13.5833,62.53,22,90,3.98,CM,2022-02-13 06:25:26
148,Rawson,-43.3002,-65.1023,69.89,33,56,8.21,AR,2022-02-13 06:24:26
149,Kirakira,-10.4544,161.9205,82.58,78,86,3.4,SB,2022-02-13 06:25:26
150,Avarua,-21.2078,-159.775,77.05,94,89,2.3,CK,2022-02-13 06:22:42
151,Brindisi,40.5833,17.6667,50.77,75,53,9.22,IT,2022-02-13 06:25:27
152,Shaunavon,49.6501,-108.4181,28.18,83,85,11.41,CA,2022-02-13 06:25:28
153,Thap Than,15.4606,99.8917,94.71,36,41,8.1,TH,2022-02-13 06:25:28
154,Chokurdakh,70.6333,147.9167,-2.42,94,100,11.41,RU,2022-02-13 06:25:29
155,Atar,20.5169,-13.0499,62.73,28,73,8.99,MR,2022-02-13 06:17:55
156,Liverpool,53.4106,-2.9779,50.68,94,75,10.36,GB,2022-02-13 06:25:29
157,Kita,13.0349,-9.4895,63.59,16,0,5.21,ML,2022-02-13 06:25:30
158,Aswan,24.0934,32.907,58.89,51,0,9.93,EG,2022-02-13 06:25:31
159,Karasjok,69.4719,25.5112,3.31,99,25,1.99,NO,2022-02-13 06:25:31
160,Hithadhoo,-0.6,73.0833,81.72,72,56,11.03,MV,2022-02-13 06:25:32
161,Yulara,-25.2406,130.9889,96.64,11,12,9.22,AU,2022-02-13 06:20:33
162,Campina Grande Do Sul,-25.3056,-49.0553,62.53,77,75,0.98,BR,2022-02-13 06:25:24
163,Ust-Kulom,61.6864,53.6902,17.24,94,99,2.59,RU,2022-02-13 06:25:34
164,Kalaleh,37.3807,55.4916,51.4,71,0,0.0,IR,2022-02-13 06:25:34
165,Bushehr,28.9684,50.8385,60.82,72,20,11.5,IR,2022-02-13 06:25:35
166,Berezovka,53.7214,25.4993,26.19,75,71,10.87,BY,2022-02-13 06:25:35
167,Oussouye,12.485,-16.5469,69.89,18,8,8.97,SN,2022-02-13 06:25:36
168,Shihezi,44.3,86.0333,28.81,72,94,7.14,CN,2022-02-13 06:25:36
169,Sur,22.5667,59.5289,75.87,42,0,3.18,OM,2022-02-13 06:25:37
170,Pompeia,-22.1086,-50.1717,65.23,92,11,5.86,BR,2022-02-13 06:25:37
171,Vestmanna,62.1564,-7.1664,34.72,87,75,29.93,FO,2022-02-13 06:20:35
172,Burnie,-41.0667,145.9167,69.94,78,100,7.83,AU,2022-02-13 06:25:38
173,Namibe,-15.1961,12.1522,75.67,72,100,2.06,AO,2022-02-13 06:25:38
174,Freeport,40.6576,-73.5832,43.38,58,100,9.22,US,2022-02-13 06:21:44
175,Omsukchan,62.5333,155.8,-25.26,99,42,3.78,RU,2022-02-13 06:25:39
176,San Cristobal,7.7669,-72.225,64.04,78,55,1.52,VE,2022-02-13 06:25:40
177,Vidim,56.4088,103.1106,-1.73,84,66,5.3,RU,2022-02-13 06:25:41
178,Tombouctou,20.0,-3.0,56.23,25,1,11.83,ML,2022-02-13 06:25:41
179,Cockburn Town,21.4612,-71.1419,77.25,73,0,21.68,TC,2022-02-13 06:25:42
180,Weymouth,42.2209,-70.9398,39.74,53,100,10.36,US,2022-02-13 06:25:42
181,Moerai,-22.4333,-151.3333,77.67,76,99,3.06,PF,2022-02-13 06:26:42
182,Malpe,13.35,74.7167,88.9,44,22,6.26,IN,2022-02-13 06:26:43
183,Brigantine,39.4101,-74.3646,45.01,54,100,10.36,US,2022-02-13 06:26:43
184,Cidreira,-30.1811,-50.2056,71.46,86,64,12.35,BR,2022-02-13 06:26:44
185,Madikeri,12.4167,75.7333,81.14,35,30,4.54,IN,2022-02-13 06:26:44
186,Saint George,37.1041,-113.5841,55.35,26,0,5.75,US,2022-02-13 06:26:45
187,Ponta Do Sol,32.6667,-17.1,62.06,71,27,4.45,PT,2022-02-13 06:26:45
188,Florina,40.782,21.4098,40.32,99,100,1.45,GR,2022-02-13 06:26:45
189,Cumra,37.5732,32.7745,23.14,83,89,1.7,TR,2022-02-13 06:26:46
190,Plettenberg Bay,-34.0527,23.3716,71.44,79,100,2.64,ZA,2022-02-13 06:26:46
191,Okhotsk,59.3833,143.3,-1.1,82,3,8.37,RU,2022-02-13 06:26:47
192,Shar,49.5886,81.0453,19.58,80,100,10.13,KZ,2022-02-13 06:26:47
193,Balikpapan,-1.2675,116.8289,85.19,79,20,5.75,ID,2022-02-13 06:26:48
194,Maceio,-9.6658,-35.7353,76.44,94,20,4.61,BR,2022-02-13 06:26:48
195,Sanary-Sur-Mer,43.1178,5.8001,50.94,69,100,5.01,FR,2022-02-13 06:26:48
196,Ibra,22.6906,58.5334,70.79,35,0,5.7,OM,2022-02-13 06:26:49
197,Turayf,31.6725,38.6637,43.05,65,0,0.0,SA,2022-02-13 06:20:46
198,Grand Forks,47.9417,-97.4337,-9.47,77,0,8.05,US,2022-02-13 06:26:50
199,Palmer,42.1584,-72.3287,34.56,56,100,8.05,US,2022-02-13 06:26:51
200,San Patricio,28.017,-97.5169,48.06,48,0,12.77,US,2022-02-13 06:19:15
201,Bilma,18.6853,12.9164,58.23,20,0,8.28,NE,2022-02-13 06:26:51
